Player,Position,Team,Goals,Assists,Points,PlusMinus,PIM
Jay Beagle,Forward,WSH,8,9,17,0,24
Matthew Nieto,Forward,SJS,8,9,17,-8,10
Sven Andrighetto,Forward,MTL,7,10,17,1,6
Phillip Di Giuseppe,Forward,CAR,7,10,17,0,18
Adam Lowry,Forward,WPG,7,10,17,-9,53
Thomas Hickey,Defense,NYI,6,11,17,9,30
Connor Murphy,Defense,ARI,6,11,17,5,48
Shane Prince,Forward,TOT,6,11,17,5,10
Matt Stajan,Forward,CGY,6,11,17,-4,52
Joseph Blandisi,Forward,NJD,5,12,17,-14,34
Kevin Connauton,Defense,TOT,5,12,17,7,60
Cody Franson,Defense,BUF,4,13,17,-5,26
Dan Girardi,Defense,NYR,2,15,17,18,20
Alex Petrovic,Defense,FLA,2,15,17,17,90
Dmitry Kulikov,Defense,FLA,1,16,17,8,51
Ryan Whitey,Forward,PHI,11,5,16,-9,101
Viktor Arvidsson,Forward,NSH,8,8,16,-8,35
Sam Gagner,Forward,PHI,8,8,16,4,25
Trevor Lewis,Forward,LAK,8,8,16,-10,20
Milan Michalek,Forward,TOT,7,9,16,0,18
Derek Dorsett,Forward,VAN,5,11,16,-13,177
Justin Fontaine,Forward,MIN,5,11,16,3,20
Jeff Petry,Defense,MTL,5,11,16,-6,16
Brett Pesce,Defense,CAR,4,12,16,-7,16
Luke Schenn,Defense,TOT,4,12,16,-2,82
Marek Zidlicky,Defense,NYI,4,12,16,5,20
Tyler Kennedy,Forward,NJD,3,13,16,-14,14
Colin Miller,Defense,BOS,3,13,16,0,39
Calvin de Haan,Defense,NYI,2,14,16,3,20
Toby Enstrom,Defense,WPG,2,14,16,8,44
Nate Schmidt,Defense,WSH,2,14,16,12,16
Roman Polak,Defense,TOT,1,15,16,6,72
Brian Dumoulin,Defense,PIT,0,16,16,11,14
Patrik Berglund,Forward,STL,10,5,15,1,16
Sergey Kalinin,Forward,NJD,8,7,15,-9,33
Emerson Etem,Forward,TOT,7,8,15,-12,11
Colin Greening,Forward,TOT,7,8,15,-2,13
Shawn Horcoff,Forward,ANA,6,9,15,1,34
Dominic Moore,Forward,NYR,6,9,15,-2,32
Tom Kuhnhackl,Forward,PIT,5,10,15,3,24
Josh Manson,Defense,ANA,5,10,15,11,74
Kevin Bieksa,Defense,ANA,4,11,15,-7,99
Linden Vey,Forward,VAN,4,11,15,-14,6
Jonathan Ericsson,Defense,DET,3,12,15,2,56
Brendan Smith,Defense,DET,3,12,15,1,62
Marc Staal,Defense,NYR,2,13,15,2,36
Joffrey Lupul,Forward,TOR,11,3,14,-10,12
Andreas Athanasiou,Forward,DET,9,5,14,1,5
Alex Chiasson,Forward,OTT,8,6,14,2,45
Eric Fehr,Forward,PIT,8,6,14,0,19
Jack Skille,Forward,COL,8,6,14,-4,11
Pierre-Edouard Bellemare,Forward,PHI,7,7,14,-8,27
Ryan Garbutt,Forward,TOT,7,7,14,-11,48
Jack Johnson,Defense,CBJ,6,8,14,-16,25
Scottie Upshall,Forward,STL,6,8,14,5,44
Radko Gudas,Defense,PHI,5,9,14,-3,116
David Legwand,Forward,BUF,5,9,14,-4,14
Jacob Josefson,Forward,NJD,4,10,14,-21,20
Jake McCabe,Defense,BUF,4,10,14,6,51
Trevor van Riemsdyk,Defense,CHI,3,11,14,-5,31
Brooks Laich,Forward,TOT,2,12,14,-13,18
Brayden McNabb,Defense,LAK,2,12,14,11,92
Chris VandeVelde,Forward,PHI,2,12,14,-7,27
Erik Gustafsson,Defense,CHI,0,14,14,11,4
Andrew Desjardins,Forward,CHI,8,5,13,-8,30
Cody McLeod,Forward,COL,8,5,13,1,138
Andrew Copp,Forward,WPG,7,6,13,8,6
Dwight King,Forward,LAK,7,6,13,-6,24
Jake Virtanen,Forward,VAN,7,6,13,-7,45
Derek MacKenzie,Forward,FLA,6,7,13,7,36
William Nylander,Forward,TOR,6,7,13,1,4
Chris Wideman,Defense,OTT,6,7,13,4,34
Chris Neil,Forward,OTT,5,8,13,-3,165
Iiro Pakarinen,Forward,EDM,5,8,13,-10,8
Michael Del Zotto,Defense,PHI,4,9,13,-8,16
Andy Greene,Defense,NJD,4,9,13,7,26
Dmitrij Jaskin,Forward,STL,4,9,13,3,26
Josh Jooris,Forward,CGY,4,9,13,-1,39
Dan Hamhuis,Defense,VAN,3,10,13,-2,28
Nick Spaling,Forward,TOT,3,10,13,-2,24
Michal Rozsival,Defense,CHI,1,12,13,3,33
Ryan Carter,Forward,MIN,7,5,12,-3,48
Beau Bennett,Forward,PIT,6,6,12,-1,10
Nicolas Deslauriers,Forward,BUF,6,6,12,-14,59
Teemu Pulkkinen,Forward,DET,6,6,12,2,14
Chris Thorburn,Forward,WPG,6,6,12,-1,81
Radek Faksa,Forward,DAL,5,7,12,9,16
Matt Hendricks,Forward,EDM,5,7,12,2,82
Marc Methot,Defense,OTT,5,7,12,12,34
Kyle Chipchura,Forward,ARI,4,8,12,-10,38
Oscar Klefbom,Defense,EDM,4,8,12,-4,6
Evgeny Medvedev,Defense,PHI,4,8,12,5,34
Jordie Benn,Defense,DAL,3,9,12,2,21
Deryk Engelland,Defense,CGY,3,9,12,7,54
Christian Ehrhoff,Defense,TOT,2,10,12,-11,34
Josh Gorges,Defense,BUF,2,10,12,-7,72
Jyrki Jokipakka,Defense,TOT,2,10,12,4,14
Dennis Seidenberg,Defense,BOS,1,11,12,-1,24
Ian Cole,Defense,PIT,0,12,12,-3,59
Alexei Emelin,Defense,MTL,0,12,12,-7,71
Chris Terry,Forward,CAR,8,3,11,-12,16
Frank Vatrano,Forward,BOS,8,3,11,-3,14
Kyle Brodziak,Forward,STL,7,4,11,-1,37
Erik Condra,Forward,TBL,6,5,11,-4,34
Nick Cousins,Forward,PHI,6,5,11,5,4
Quinton Howden,Forward,FLA,6,5,11,-1,18
Cedric Paquette,Forward,TBL,6,5,11,-2,51
Jason Garrison,Defense,TBL,5,6,11,-4,18
Brandon Davidson,Defense,EDM,4,7,11,7,20
Andreas Martinsen,Forward,COL,4,7,11,-4,47
Kyle Quincey,Defense,DET,4,7,11,1,36
Bryan Rust,Forward,PIT,4,7,11,1,12
Gregory Campbell,Forward,CBJ,3,8,11,-6,78
Tyler Ennis,Forward,BUF,3,8,11,-9,11
Jay McClement,Forward,CAR,3,8,11,-17,24
Brenden Dillon,Defense,SJS,2,9,11,8,61
Alexey Marchenko,Defense,DET,2,9,11,-5,10
R.J. Umberger,Forward,PHI,2,9,11,1,15
Stephen Gionta,Forward,NJD,1,10,11,-13,43
Mark Pysyk,Defense,BUF,1,10,11,-1,32
Andy Andreoff,Forward,LAK,8,2,10,1,76
Bobby Farnham,Forward,TOT,8,2,10,-2,97
Conor Sheary,Forward,PIT,7,3,10,-1,8
Markus Granlund,Forward,TOT,6,4,10,-4,14
Adam Cracknell,Forward,TOT,5,5,10,-1,20
Marko Dano,Forward,TOT,5,5,10,-7,10
Landon Ferraro,Forward,TOT,5,5,10,-11,27
Miikka Salomaki,Forward,NSH,5,5,10,-1,28
